region,population,woeid
Alsace,1859869,7153330
Aquitaine,3285970,7153309
Auvergne,1354104,7153310
Basse-Normandie,1477209,7153311
Bourgogne,1641130,7153312
Bretagne,3237097,7153313
Centre,2563586,7153314
Champagne-Ardenne,1339270,7153315
Corse,316257,7153316
Franche-Comté,1175684,7153317
Haute-Normandie,1845547,7153318
Ile-de-France,11898502,7153319
Languedoc-Roussillon,2700266,7153320
Limousin,738633,7153321
Lorraine,2349816,7153322
Midi-Pyrénées,2926592,7153323
Nord-Pas-de-Calais,4050756,7153324
Pays de la Loire,3632614,7153325
Picardie,1922342,7153326
Poitou-Charentes,1783991,7153327
Provence-Alpes-Côte d'Azur,4935576,7153328
Rhône-Alpes,6341160,7153329