region,population
Alsace,1859869
Aquitaine,3285970
Auvergne,1354104
Basse-Normandie,1477209
Bourgogne,1641130
Bretagne,3237097
Centre,2563586
Champagne-Ardenne,1339270
Corse,316257
Franche-Comté,1175684
Haute-Normandie,1845547
Ile-de-France,11898502
Languedoc-Roussillon,2700266
Limousin,738633
Lorraine,2349816
Midi-Pyrénées,2926592
Nord-Pas-de-Calais,4050756
Pays de la Loire,3632614
Picardie,1922342
Poitou-Charentes,1783991
Provence-Alpes-Côte d'Azur,4935576
Rhône-Alpes,6341160